iter	Passed	Remaining
220	2610	3295
221	2635	3300
222	2644	3285
223	2652	3268
224	2662	3254
225	2672	3240
226	2682	3226
227	2692	3211
228	2702	3198
229	2713	3185
230	2722	3170
231	2732	3157
232	2743	3143
233	2753	3129
234	2762	3115
235	2776	3106
236	2786	3092
237	2797	3079
238	2807	3066
239	2819	3054
240	2829	3040
241	2840	3027
242	2848	3013
243	2860	3001
244	2869	2986
245	2879	2973
246	2892	2962
247	2902	2948
248	2911	2934
249	2921	2921
250	2932	2908
251	2942	2895
252	2953	2883
253	2965	2871
254	2975	2858
255	2985	2845
256	2995	2832
257	3018	2831
258	3073	2860
259	3130	2889
260	3142	2877
261	3171	2880
262	3182	2867
263	3194	2855
264	3204	2841
265	3215	2828
266	3226	2815
267	3236	2801
268	3246	2788
269	3259	2776
270	3270	2763
271	3280	2749
272	3291	2736
273	3301	2723
274	3312	2710
275	3324	2698
276	3336	2686
277	3350	2675
278	3360	2662
279	3370	2648
280	3384	2637
281	3396	2625
282	3407	2612
283	3417	2598
284	3427	2585
285	3438	2573
286	3449	2560
287	3460	2546
288	3470	2533
289	3481	2520
290	3493	2508
291	3503	2495
292	3517	2484
293	3527	2471
294	3538	2458
295	3548	2445
296	3558	2432
297	3569	2419
298	3579	2405
299	3588	2392
300	3597	2378
301	3615	2370
302	3625	2356
303	3635	2343
304	3644	2330
305	3654	2317
306	3665	2304
307	3675	2291
308	3685	2278
309	3695	2264
310	3705	2251
311	3714	2238
312	3725	2225
313	3735	2212
314	3744	2199
315	3754	2186
316	3770	2176
317	3780	2163
318	3793	2152
319	3803	2139
320	3813	2126
321	3832	2118
322	3853	2111
323	3865	2100
324	3875	2086
325	3889	2075
326	3898	2062
327	3908	2049
328	3922	2038
329	3934	2027
330	3946	2014
331	3962	2005
332	3975	1993
333	3991	1983
334	4001	1970
335	4027	1965
336	4038	1953
337	4048	1940
338	4059	1928
339	4071	1915
340	4083	1904
341	4096	1892
342	4106	1879
343	4116	1866
344	4128	1854
345	4137	1841
346	4147	1828
347	4156	1815
348	4166	1802
349	4177	1790
350	4190	1779
351	4202	1766
352	4212	1754
353	4222	1741
354	4232	1728
355	4242	1716
356	4261	1707
357	4272	1694
358	4282	1681
359	4292	1669
360	4302	1656
361	4312	1644
362	4323	1631
363	4334	1619
364	4348	1608
365	4358	1595
366	4368	1583
367	4380	1571
368	4391	1559
369	4401	1546
370	4412	1534
371	4422	1521
372	4433	1509
373	4443	1497
374	4453	1484
375	4464	1472
376	4476	1460
377	4500	1452
378	4512	1440
379	4524	1428
380	4534	1416
381	4545	1404
382	4556	1391
383	4566	1379
384	4579	1367
385	4590	1355
386	4602	1343
387	4613	1331
388	4624	1319
389	4636	1307
390	4649	1296
391	4660	1283
392	4669	1271
393	4679	1258
394	4689	1246
395	4699	1234
396	4709	1221
397	4719	1209
398	4729	1197
399	4739	1184
400	4748	1172
401	4761	1160
402	4772	1148
403	4782	1136
404	4793	1124
405	4807	1113
406	4817	1100
407	4829	1089
408	4843	1077
409	4853	1065
410	4864	1053
411	4875	1041
412	4886	1029
413	4898	1017
414	4909	1005
415	4920	993
416	4930	981
417	4941	969
418	4952	957
419	4963	945
420	4974	933
421	4985	921
422	4996	909
423	5011	898
424	5022	886
425	5031	874
426	5042	862
427	5054	850
428	5066	838
429	5077	826
430	5095	815
431	5105	803
432	5115	791
433	5126	779
434	5136	767
435	5147	755
436	5158	743
437	5169	731
438	5178	719
439	5188	707
440	5198	695
441	5208	683
442	5218	671
443	5227	659
444	5238	647
445	5246	635
446	5259	623
447	5272	611
448	5284	600
449	5295	588
450	5307	576
451	5320	565
452	5332	553
453	5350	542
454	5362	530
455	5375	518
456	5385	506
457	5395	494
458	5406	482
459	5417	471
460	5426	459
461	5437	447
462	5447	435
463	5460	423
464	5471	411
465	5482	400
466	5491	388
467	5503	376
468	5515	364
469	5524	352
470	5534	340
471	5543	328
472	5553	317
473	5564	305
474	5574	293
475	5583	281
476	5595	269
477	5605	257
478	5616	246
479	5626	234
480	5636	222
481	5646	210
482	5656	199
483	5666	187
484	5676	175
485	5686	163
486	5696	152
487	5706	140
488	5716	128
489	5725	116
490	5735	105
491	5748	93
492	5758	81
493	5768	70
494	5778	58
495	5788	46
496	5801	35
497	5813	23
498	5824	11
499	5835	0
